"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","test_statement_type","test_statement","learn_check_left","learn_check_right","statement_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_left_correct","learning_check_right_correct","learning_check_correct"
"7i39yHFJSpm5",14,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_second","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",1,"The right male swam to the female first.","2024-01-09 22:11:46",25,"1: male",NA,"correct","correct","correct","correct"
"zgQQ9umQZxEQ",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_first","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-09 22:11:47",39,"1: male","There were no obvious errors with the study","correct","correct","correct","correct"
"mHXchQYfK9Hc",13,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_first","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The right male swam to the female first.","2024-01-09 22:11:47",39,"1: male",NA,"correct","correct","correct","correct"
"s1IXBQmMY13V",10,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_second","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",1,"The left male swam to the female first.","2024-01-09 22:11:48",42,"2: female",NA,"correct","correct","correct","correct"
"z3PPrZAqG3pD",9,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_first","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",5,"The left male swam to the female first.","2024-01-09 22:11:50",60,"2: female",NA,"correct","correct","correct","correct"
"9OdgfcrJEr0Q",16,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_second","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",3,"The right male swam to the female first.","2024-01-09 22:11:50",25,"2: female","n/a","correct","correct","correct","correct"
"FIMRIfwuOebx",8,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_second","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-09 22:11:51",46,"2: female",NA,"correct","correct","correct","correct"
"KA2USzB0zSjl",11,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_first","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The left male swam to the female first.","2024-01-09 22:11:52",28,"2: female",NA,"correct","correct","correct","correct"
"i2hRQ5m7KNZc",12,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_second","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The left male swam to the female first.","2024-01-09 22:11:52",35,"1: male","None","correct","correct","correct","correct"
"VHLe7YBfj3Ou",6,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_second","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-09 22:11:53",28,"2: female","N/A","correct","correct","correct","correct"
"wEUkZolwLI31",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_second","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The left male swam to the female first.","2024-01-09 22:11:55",37,"2: female",NA,"correct","correct","correct","correct"
"y0gmI1DYiD0e",15,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_first","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The right male swam to the female first.","2024-01-09 22:11:58",36,"2: female",NA,"correct","correct","correct","correct"
"m9GDUd5TqvhH",2,"1: I confirm","1: I will take it seriously","1: A little squid swam from the left to the right.","irreversible","left","trigger_second","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The left male swam to the female first.","2024-01-09 22:11:58",31,"1: male",NA,"correct","correct","correct","correct"
"qjCXEbXfpsQ5",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_second","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",3,"The left male swam to the female first.","2024-01-09 22:11:59",34,"1: male",NA,"correct","correct","correct","correct"
"2bbYROdQdb1x",5,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_first","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-09 22:11:59",30,"1: male",NA,"correct","correct","correct","correct"
"0oAm3a7ZP2tN",10,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_second","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The left male swam to the female first.","2024-01-09 22:12:00",31,"2: female",NA,"correct","correct","correct","correct"
"w30CGBAkV0OY",8,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_second","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",1,"The right male swam to the female first.","2024-01-09 22:12:02",38,"2: female",NA,"correct","correct","correct","correct"
"VHlj7ju32Cgx",5,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_first","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-09 22:12:04",35,"2: female",NA,"correct","correct","correct","correct"
"j4KWF80Qrm2Z",11,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_first","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The left male swam to the female first.","2024-01-09 22:12:05",57,"2: female",NA,"correct","correct","correct","correct"
"iq4fwLPwIC5x",7,"1: I confirm","1: I will take it seriously","1: A little squid swam from the left to the right.","irreversible","right","maintainer_first","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",3,"The right male swam to the female first.","2024-01-09 22:12:07",28,"1: male",NA,"correct","correct","correct","correct"
"HRiN8nx5SBhL",13,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_first","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The right male swam to the female first.","2024-01-09 22:12:09",26,"2: female","none","correct","correct","correct","correct"
"DJLWH60dKdsM",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_second","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The left male swam to the female first.","2024-01-09 22:12:12",23,"1: male",NA,"correct","correct","correct","correct"
"5sdGsgMGkwZU",16,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_second","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The right male swam to the female first.","2024-01-09 22:12:44",18,"1: male","None","correct","correct","correct","correct"
"f5ekx5QAhAdX",9,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_first","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",9,"The left male swam to the female first.","2024-01-09 22:13:56",33,"1: male",NA,"correct","correct","correct","correct"
"b0eneFB0vcyv",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_first","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-09 22:14:07",35,"1: male",NA,"correct","correct","correct","correct"
"8LtRXX58KGTL",12,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_second","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The left male swam to the female first.","2024-01-09 22:14:53",23,"2: female","No Errors Detected","correct","correct","correct","correct"
"qvzUhNA4YpG3",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_first","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-09 22:28:01",64,"1: male","network issues","correct","correct","correct","correct"
"7vSlAJEgCJTv",15,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_first","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",3,"The right male swam to the female first.","2024-01-09 22:30:27",24,"1: male",NA,"correct","correct","correct","correct"
"m5qSgsgjNCES",6,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_second","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-09 22:31:00",30,"1: male",NA,"correct","correct","correct","correct"
"Vw8nChuw3uBu",11,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_first","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",6,"The left male swam to the female first.","2024-01-09 22:41:28",25,"1: male",NA,"correct","correct","correct","correct"
"o7czz70Bwfod",7,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_first","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-09 22:41:30",47,"1: male",NA,"correct","correct","correct","correct"
"2svqKJgoZG8j",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_second","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",8,"The left male swam to the female first.","2024-01-09 22:41:40",34,"1: male",NA,"correct","correct","correct","correct"
"PumlN08NGLQr",9,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_first","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",9,"The left male swam to the female first.","2024-01-09 22:41:42",72,"1: male","Errors in grammar; use of commas.","correct","correct","correct","correct"
"c0WLPDkWoYAk",13,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_first","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The right male swam to the female first.","2024-01-09 22:41:42",32,"2: female",NA,"correct","correct","correct","correct"
"QYzpzJ1j2MYW",6,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_second","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-09 22:41:44",66,"1: male","none","correct","correct","correct","correct"
"HkFQCMlAQFO2",15,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_first","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The right male swam to the female first.","2024-01-09 22:41:44",53,"1: male","none :)","correct","correct","correct","correct"
"qkws8niimDsU",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_first","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-09 22:41:45",56,"1: male","No errors","correct","correct","correct","correct"
"n9oMf90AfcVC",14,"1: I confirm","1: I will take it seriously","1: A little squid swam from the left to the right.","reversible","right","trigger_second","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The right male swam to the female first.","2024-01-09 22:41:45",37,"1: male","N/A","correct","correct","correct","correct"
"qAsaC2Dlz65Q",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_second","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",1,"The left male swam to the female first.","2024-01-09 22:41:47",54,"1: male","This study was technically glitch-free and written with a concise frugality that made it clearly understood.(unlike that sentence) :)","correct","correct","correct","correct"
"GTmTTW7LlLWC",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_first","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-09 22:41:48",22,"2: female",NA,"correct","correct","correct","correct"
"O5qXkA3uglyQ",10,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_second","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",1,"The left male swam to the female first.","2024-01-09 22:41:48",58,"2: female","none","correct","correct","correct","correct"
"lY8VymwzhoP2",5,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_first","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-09 22:41:50",32,"2: female",NA,"correct","correct","correct","correct"
