"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","learn_check_left","learn_check_right","left_caused_rating","right_caused_rating","left_maintained_rating","right_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_left_correct","learning_check_right_correct","learning_check_correct"
"tNprTDI4EF2J",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,10,0,10,"The left male swam to the female first.","2023-10-26 07:58:44",54,"2: female",NA,"correct","correct","correct","correct"
"AQs0aNoxL8CZ",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,0,0,10,"The left male swam to the female first.","2023-10-26 07:58:45",36,"1: male",NA,"correct","correct","correct","correct"
"biTiUut5Yqri",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,10,0,0,"The right male swam to the female first.","2023-10-26 07:58:47",43,"1: male","None","correct","correct","correct","correct"
"Imog0Zg7dkfA",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,10,10,0,"The right male swam to the female first.","2023-10-26 07:58:47",47,"1: male",NA,"correct","correct","correct","correct"
"SMGtSNxPBYCG",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,10,0,"The left male swam to the female first.","2023-10-26 07:58:50",56,"2: female",NA,"correct","correct","correct","correct"
"cqIG3bQCgDQw",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,5,0,5,"The right male swam to the female first.","2023-10-26 07:58:53",58,"2: female",NA,"correct","correct","correct","correct"
"300k0JB5UXnJ",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,4,7,"The left male swam to the female first.","2023-10-26 07:58:56",40,"2: female",NA,"correct","correct","correct","correct"
"Hom1emXa804Z",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",5,10,10,5,"The right male swam to the female first.","2023-10-26 07:58:56",27,"1: male",NA,"correct","correct","correct","correct"
"nrKZVfbmrrSf",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,10,0,5,"The right male swam to the female first.","2023-10-26 07:58:59",43,"1: male","no good study dont know if i got the last question right how bad is that i think i did but no good study","correct","correct","correct","correct"
"OnAJv6s44HaI",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,0,10,10,"The left male swam to the female first.","2023-10-26 07:58:59",19,"1: male","No errors to report, the study was done with no issues.","correct","correct","correct","correct"
"tIojRKAAtkaa",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",8,3,3,8,"The left male swam to the female first.","2023-10-26 07:59:00",28,"1: male","none","correct","correct","correct","correct"
"PZDBJ3pj6hTX",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",1,10,9,0,"The right male swam to the female first.","2023-10-26 07:59:00",62,"1: male","none","correct","correct","correct","correct"
"ZhLMBPmHrzlF",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",8,8,8,9,"The left male swam to the female first.","2023-10-26 07:59:06",26,"2: female",NA,"correct","correct","correct","correct"
"NLZvZmPtFxDL",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",8,3,2,8,"The left male swam to the female first.","2023-10-26 07:59:06",36,"2: female",NA,"correct","correct","correct","correct"
"L2TNfHTaTnx3",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,0,10,10,"The left male swam to the female first.","2023-10-26 07:59:10",41,"2: female",NA,"correct","correct","correct","correct"
"kWSZyirzAshz",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,10,10,0,"The right male swam to the female first.","2023-10-26 07:59:10",23,"1: male",NA,"correct","correct","correct","correct"
"ZpLjxW3Q8v93",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",2,10,5,5,"The right male swam to the female first.","2023-10-26 07:59:11",28,"2: female","None","correct","correct","correct","correct"
"30onh0Nty7F1",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,10,10,0,"The right male swam to the female first.","2023-10-26 07:59:11",55,"1: male","None","correct","correct","correct","correct"
"14LpNiOJMD1S",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,1,1,10,"The left male swam to the female first.","2023-10-26 07:59:13",27,"2: female",NA,"correct","correct","correct","correct"
"tsEYSfgGvTII",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,9,0,"The left male swam to the female first.","2023-10-26 07:59:16",33,"1: male",NA,"correct","correct","correct","correct"
"tWSACMdvazBc",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,9,0,5,"The right male swam to the female first.","2023-10-26 07:59:18",54,"1: male","na","correct","correct","correct","correct"
"AXEs2sEny52Q",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,10,0,0,"The right male swam to the female first.","2023-10-26 07:59:24",20,"1: male",NA,"correct","correct","correct","correct"
"FzETSkwDCPsU",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,9,1,1,"The right male swam to the female first.","2023-10-26 07:59:25",27,"2: female","Nothing obvious that I could see","correct","correct","correct","correct"
"ZJfHrYxeS0eW",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",9,1,1,9,"The left male swam to the female first.","2023-10-26 07:59:40",63,"2: female","None to report. Thank you","correct","correct","correct","correct"
"eROjrepT0U5s",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,10,10,0,"The right male swam to the female first.","2023-10-26 08:01:05",38,"1: male","No errors","correct","correct","correct","correct"
"sZOdyStw5pyg",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,0,0,10,"The left male swam to the female first.","2023-10-26 08:01:26",26,"2: female","None","correct","incorrect","incorrect","incorrect"
"ReDOw1jbSx2P",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,0,0,10,"The left male swam to the female first.","2023-10-26 08:07:01",26,"1: male",NA,"correct","correct","correct","correct"
"t4VSp4fnwlvf",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,10,0,0,"The right male swam to the female first.","2023-10-26 08:07:20",30,"2: female",NA,"correct","correct","correct","correct"
"Eoes7VS1vjE5",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,0,10,"The left male swam to the female first.","2023-10-26 08:12:05",34,"2: female",NA,"correct","correct","incorrect","incorrect"
"afipePREEIdz",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",1,10,3,5,"The right male swam to the female first.","2023-10-26 08:48:01",28,"1: male","no issues","correct","correct","correct","correct"
"W26lil4JhNPL",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,5,9,"The left male swam to the female first.","2023-10-26 08:48:10",52,"2: female",NA,"correct","correct","correct","correct"
"ePAiAsUohyTv",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,5,5,"The left male swam to the female first.","2023-10-26 08:48:11",25,"2: female","I didnt see any problems","correct","correct","correct","correct"
"0coe6mBpoe8x",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,0,2,8,"The left male swam to the female first.","2023-10-26 08:48:11",48,"1: male",NA,"correct","correct","correct","correct"
"O2qfmAIiHma4",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,10,0,5,"The right male swam to the female first.","2023-10-26 08:48:12",46,"1: male",NA,"correct","correct","correct","correct"
"L7PRO3dJ3D2J",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,1,10,1,"The right male swam to the female first.","2023-10-26 08:48:12",29,"2: female",NA,"correct","correct","correct","correct"
"0ptaXvmZp7ld",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,10,0,10,"The left male swam to the female first.","2023-10-26 08:48:13",56,"1: male",NA,"correct","correct","correct","correct"
"fgZ181LLWW2f",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,1,3,10,"The left male swam to the female first.","2023-10-26 08:48:13",25,"1: male","no errors","correct","correct","correct","correct"
"WIwDmLEASTay",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",9,5,0,9,"The left male swam to the female first.","2023-10-26 08:48:14",59,"1: male",NA,"correct","correct","correct","correct"
"XKKScnfxhiVm",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",2,10,3,4,"The right male swam to the female first.","2023-10-26 08:48:14",31,"1: male",NA,"correct","correct","correct","correct"
"hzLaNkHfp4Vc",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,4,4,10,"The left male swam to the female first.","2023-10-26 08:48:14",41,"1: male","None","correct","correct","correct","correct"
"aX2AoleQzMaQ",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,10,10,0,"The right male swam to the female first.","2023-10-26 08:48:14",38,"2: female",NA,"correct","correct","correct","correct"
"hlHvT9q1Wtky",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,3,8,8,"The left male swam to the female first.","2023-10-26 08:48:22",21,"2: female",NA,"correct","correct","correct","correct"
"owiosUoatu2w",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",1,9,9,1,"The right male swam to the female first.","2023-10-26 08:48:23",56,"2: female",NA,"correct","correct","correct","correct"
"71xQ4J73qB5o",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,9,0,0,"The right male swam to the female first.","2023-10-26 08:48:24",31,"1: male","N/A","correct","correct","correct","correct"
"nZhGIZTHNBbo",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,2,0,0,"The left male swam to the female first.","2023-10-26 08:48:41",62,"2: female",NA,"correct","correct","correct","correct"
